County_Name,state_abbr,State Identifier,Obesity_Prevalence,Hispanic,Asian,Black,White,food_access,inactivity,poverty,Metro_Values,Metro_Nonmetro,GEOID
Ford County,IL,17,0.202,0.031,0.004,0.007,0.954,0.525,0.182,0.110,0,Nonmetropolitan,17053
Franklin County,IL,17,0.222,0.018,0.004,0.004,0.968,0.375,0.199,0.187,0,Nonmetropolitan,17055
Fulton County,IL,17,0.218,0.029,0.002,0.033,0.940,0.211,0.203,0.144,1,Metropolitan,17057
Gallatin County,IL,17,0.193,0.007,0.002,0.003,0.960,1.000,0.179,0.184,0,Nonmetropolitan,17059
Greene County,IL,17,0.204,0.009,0.002,0.011,0.964,0.000,0.181,0.148,0,Nonmetropolitan,17061
Grundy County,IL,17,0.227,0.102,0.006,0.015,0.934,0.563,0.194,0.072,1,Metropolitan,17063
Hamilton County,IL,17,0.195,0.011,0.002,0.004,0.980,0.329,0.179,0.138,0,Nonmetropolitan,17065
Hancock County,IL,17,0.211,0.016,0.004,0.006,0.970,0.491,0.202,0.121,0,Nonmetropolitan,17067
Hardin County,IL,17,0.196,0.014,0.004,0.019,0.959,0.461,0.184,0.200,0,Nonmetropolitan,17069
Henderson County,IL,17,0.208,0.017,0.004,0.002,0.965,0.000,0.189,0.118,0,Nonmetropolitan,17071
Henry County,IL,17,0.229,0.055,0.004,0.019,0.927,0.497,0.214,0.104,1,Metropolitan,17073
Iroquois County,IL,17,0.225,0.071,0.004,0.011,0.934,0.525,0.197,0.125,0,Nonmetropolitan,17075
Jackson County,IL,17,0.213,0.045,0.034,0.146,0.764,0.687,0.182,0.261,1,Metropolitan,17077
Jasper County,IL,17,0.198,0.016,0.001,0.002,0.977,0.299,0.172,0.107,0,Nonmetropolitan,17079
Jefferson County,IL,17,0.222,0.027,0.010,0.077,0.871,0.687,0.198,0.165,0,Nonmetropolitan,17081
Jersey County,IL,17,0.216,0.014,0.004,0.006,0.968,0.348,0.191,0.101,1,Metropolitan,17083
Jo Daviess County,IL,17,0.220,0.031,0.005,0.006,0.964,0.550,0.186,0.096,0,Nonmetropolitan,17085
Johnson County,IL,17,0.196,0.037,0.002,0.099,0.865,0.353,0.174,0.148,1,Metropolitan,17087
Kane County,IL,17,0.260,0.316,0.037,0.054,0.706,0.502,0.183,0.098,1,Metropolitan,17089
Kankakee County,IL,17,0.257,0.108,0.010,0.149,0.783,0.473,0.218,0.149,1,Metropolitan,17091
Kendall County,IL,17,0.236,0.193,0.031,0.068,0.802,0.443,0.177,0.048,1,Metropolitan,17093
Knox County,IL,17,0.232,0.055,0.009,0.083,0.860,0.501,0.212,0.165,0,Nonmetropolitan,17095
Lake County,IL,17,0.239,0.213,0.073,0.068,0.744,0.631,0.183,0.086,0,Nonmetropolitan,17097
LaSalle County,IL,17,0.222,0.064,0.017,0.081,0.851,0.553,0.200,0.133,1,Metropolitan,17099
Lawrence County,IL,17,0.198,0.030,0.003,0.129,0.828,0.168,0.181,0.175,0,Nonmetropolitan,17101
Lee County,IL,17,0.220,0.059,0.006,0.050,0.903,0.424,0.193,0.117,0,Nonmetropolitan,17103
Livingston County,IL,17,0.223,0.048,0.006,0.046,0.917,0.575,0.210,0.122,0,Nonmetropolitan,17105
Logan County,IL,17,0.216,0.033,0.008,0.082,0.870,0.628,0.183,0.130,0,Nonmetropolitan,17107
Macon County,IL,17,0.249,0.022,0.012,0.156,0.779,0.548,0.210,0.166,1,Metropolitan,17115
Macoupin County,IL,17,0.227,0.012,0.004,0.008,0.966,0.177,0.196,0.131,1,Metropolitan,17117
Madison County,IL,17,0.289,0.034,0.009,0.083,0.872,0.635,0.236,0.129,1,Metropolitan,17119
Marion County,IL,17,0.223,0.021,0.006,0.037,0.924,0.625,0.210,0.170,0,Nonmetropolitan,17121
Marshall County,IL,17,0.197,0.031,0.003,0.005,0.961,0.208,0.183,0.102,1,Metropolitan,17123
Mason County,IL,17,0.211,0.011,0.003,0.007,0.974,0.567,0.192,0.138,0,Nonmetropolitan,17125
Massac County,IL,17,0.200,0.030,0.003,0.060,0.900,0.593,0.184,0.171,0,Nonmetropolitan,17127
McDonough County,IL,17,0.209,0.036,0.006,0.034,0.927,0.852,0.188,0.210,0,Nonmetropolitan,17109
McHenry County,IL,17,0.222,0.064,0.017,0.081,0.851,0.632,0.200,0.068,1,Metropolitan,17111
McLean County,IL,17,0.222,0.064,0.017,0.081,0.851,0.506,0.200,0.134,1,Metropolitan,17113
Menard County,IL,17,0.199,0.014,0.004,0.008,0.968,0.321,0.172,0.092,1,Metropolitan,17129
Mercer County,IL,17,0.222,0.025,0.003,0.006,0.968,0.467,0.188,0.096,1,Metropolitan,17131
Monroe County,IL,17,0.224,0.016,0.006,0.004,0.975,0.555,0.188,0.048,1,Metropolitan,17133
Montgomery County,IL,17,0.220,0.018,0.004,0.054,0.923,0.577,0.202,0.151,0,Nonmetropolitan,17135
Morgan County,IL,17,0.219,0.025,0.006,0.059,0.904,0.823,0.198,0.142,0,Nonmetropolitan,17137
Moultrie County,IL,17,0.193,0.015,0.002,0.007,0.976,0.000,0.177,0.101,0,Nonmetropolitan,17139
Ogle County,IL,17,0.231,0.099,0.005,0.010,0.934,0.253,0.200,0.100,0,Nonmetropolitan,17141
Peoria County,IL,17,0.270,0.049,0.038,0.176,0.728,0.511,0.213,0.160,1,Metropolitan,17143
Perry County,IL,17,0.197,0.030,0.006,0.085,0.880,0.304,0.182,0.166,0,Nonmetropolitan,17145
Piatt County,IL,17,0.204,0.013,0.002,0.008,0.959,0.353,0.184,0.069,1,Metropolitan,17147
Pike County,IL,17,0.202,0.013,0.003,0.013,0.966,0.843,0.183,0.156,0,Nonmetropolitan,17149
Pope County,IL,17,0.195,0.025,0.004,0.043,0.917,0.543,0.180,0.183,0,Nonmetropolitan,17151
Pulaski County,IL,17,0.197,0.020,0.002,0.318,0.646,1.000,0.183,0.225,0,Nonmetropolitan,17153
Putnam County,IL,17,0.196,0.058,0.004,0.005,0.960,0.000,0.177,0.082,0,Nonmetropolitan,17155
Randolph County,IL,17,0.215,0.031,0.004,0.094,0.877,0.462,0.189,0.141,0,Nonmetropolitan,17157
